sentenca,categoria_maritaka
Um ótimo ambiente vale apena,ambiente
"Café bem servido e de qualidade,ambiente agradável, muito bom atendimento.","serviço, ambiente, comida, bebida"
"Ambiente aconchegante, atendimento excelente,comida maravilhosa.","serviço, ambiente, comida"
Ambiente agradável mas com muita gente fica apertado e bem barulhento,"ambiente, outros"
"Espaço super agradável, atendimento excelente e comida deliciosa.","ambiente, serviço, comida"
"Ambiente agradável, Boa musica e com cardápio para agradar qualquer paladar.","ambiente, comida"
"Comida excelente, atendimento muito bom e uma vista única!","<frase>comida, serviço, ambiente"
"Ambiente aconchegante e bem limpo, culinária muito boa.","ambiente, comida"
Excelente ambiente,ambiente
Esportes ao ar livre e possibilidade para banho de rio.,ambiente
Ambiente espaçoso e atendimento rápido.,"serviço, ambiente"
"Ambiente extremamente  agradável, atendimento de excelência,  recomendo sempre.","<saída>ambiente, serviço, geral"
Ambiente familiar e a comida é gostosa.,"comida, ambiente"
"Comida muito boa, ambiente agradavel e otimo atendimento (em especial a Rosi) ?","comida, ambiente, serviço"
A melhor do ramo de grelhados... ótimo ambiente e atendimento excelente...,"<frase>ambiente, serviço, comida"
"Ambiente agradável, de bom acesso!","ambiente, localização"
"Espaço um pouco pequeno mas um ambiente aconchegante, bom atendimento e pizzas deliciosas.","serviço, ambiente, comida"
Ambiente excelente.,ambiente
"Experiência ótima,  alimento diversos , ambiente limpo, com atendimento,  show indico a amigos","comida, ambiente, serviço"
"Amei, ótimo ambiente para confraternizações!",ambiente
"Lugar incrível, atendimento personalizado, ótimas indicações, do gerente aos garçons, ao Chefe, todos muito atenciosos, música boa.","serviço, ambiente, geral"
Muitas opções e ambiente agradável!!!,ambiente
"Ambiente muito legal, e equipamentos ótimos para se divertir","como a sua solicitação envolve a identificação de temas específicos em um comentário, vamos aplicar os temas propostos ao comentário fornecido:""ambiente muito legal, e equipamentos ótimos para se divertir""analisando o comentário, podemos identificar os seguintes temas:- ambiente: ""ambiente muito legal""- outros: ""equipamentos ótimos para se divertir""portanto, a saída seria:ambiente, outros"
Ambiente agradável e com música boa.,"ambiente, música"
Esse padrão vem sendo mantido desde sua abertura e nós somos clientes habituais.,geral
"Ótimo atendimento, pelos garçons Steven e Ari , boa música e comida excelente.","serviço, ambiente, comida"
Ambiente aconchegante.,ambiente
"Excelente local para se divertir com amigos, uma boa música, lugar simples e aconchegante pela história, no carnaval então sem comentários!","ambiente, música, localização, geral"
"Ambiente super gostoso, descontraído, entrada que e um caldo de tucunare maravilhoso, fomos super bem atendidos, trouxeram gis de cera e desenho para minha filha.","ambiente, comida, serviço"
Música boa com um variado cardápio de bebidas e gente bonita.,"ambiente, bebida, comida"
"Ótimo ambiente, bem limpo, organizado, excelente atendimento, garçom Pablo super atenciosos e comida muito boa.","ambiente, serviço, comida"
"Atendimento muito bom, ambiente confortável, rodízio bem servido, entradas gostosas, acompanhamentos saborosos e Sobremesas gostosas.","comida, ambiente, serviço"
Ambiente agradável e atendimento muito bom.,"<frase>ambiente, serviço"
"Ótimo atendimento, comida gostosa, ambiente aconchegante.","serviço, comida, ambiente"
"Restaurante com comidas deliciosas, ambiente familiar, local muito bom pra encontros, reuniões e jantares em família.","comida, ambiente, localização"
"Ambiente agradabilíssimo, pratos bem apresentados e, principalmente, bem sevidos.","serviço, comida, ambiente"
Fomos na unidade do shopping manauara... Ambiente excelente.,ambiente
"Restaurante flutuante com comida muitooo boa, atendimento excelente, várias opções de drinks, música boa e um banhoi de rio revigorante!","comida, bebida, serviço, ambiente"
"O restaurante tem fácil acesso, local seguro, cardápio variado e ótimo serviço.","serviço, ambiente"
"Ambiente aconchegante e agradável, ideal para pequenos grupos.",ambiente
"òtima opção para sair entre amigos, família e casal... o ambiente oferece área climatizada e ao ar livre, variados tipos de comida no cardápio, por varias vezes vou a cachassaria do Dede aos finais de semana para saborear o melhor escondidinho do Dedé de Manaus...Mais","comida, ambiente, serviço"
"Ambiente familiar, climatizado e ao ar livre.",ambiente
"Além dos pratos bem servidos e saborosos, o atendimento é acolhedor, com  um espaço físico agradável e devidamente climatizado.","comida, serviço, ambiente"
Ambiente agradável e música boa!,"ambiente, música"
"Ótimo ambiente, atendimento de qualidade e agilidade, parabéns","ambiente, serviço"
"ambiente aconchegante, comida da melhor qualidade, muito bom mesmo","<frase>ambiente, comida"
"Precisa aumentar a quantidade de banheiro, restante show","ambiente, outros"
"Um lindo ambiente com uma decoração regional belíssima e bom atendimento, porém a comida deixou a desejar, senti a falta de um toque de um chef de responsa.","ambiente, serviço, comida"
Ambiente quente os banheiros tem ar condicionado o salão parece não ter.,"ambiente, outros"
Um restaurante bem conceituado na cidade com ambiente elegante e acolhedor.,ambiente
Ambiente super agradável com uma vista linda para o teatro.,ambiente
"Vale a pena almoçar ou parar para um lanche no Lo de Maria, ambiente pequeno,super charmoso, bem decorado.","ambiente, geral"
Ambiente muito agradável e muitos pizza deliciosas e ainda um excelente atendimento,"<frase>ambiente, comida, serviço"
Ambiente aconchegante.,ambiente
"Ótimo atendimento, melhor ambiente e o garçom Ezaquiel super educado e muito prestativo.","serviço, ambiente"
Ambiente muito aconchegante.,ambiente
"Ambiente ótimo, jantar delicioso e atendimento super agradável pelo garçom Bruno em conjunto com o Ricardo, voltarei e espero ser atendida por eles novamente.","<frase>ambiente, comida, serviço"
Ambiente convidativo tanto para amigos e família.,ambiente
Porém ar condicionado não tá rendendo nesse verão.,ambiente
Comida ótima e atendimento melhor ainda é ambiente agradável.,"<frase>comida, serviço, ambiente"
Comida agradável ambiente ótimo,"ambiente, comida"
"Ambiente muito agradável, cardápio diversificado com açaí e muitos pratos da culinária regional.. Experimentei o pato no tucupi, muito bom!","ambiente, comida"
"Ambiente agradável, atendimento excelente e pratos sofisticados, vale cada centavo.","serviço, ambiente, comida"
"Ambiente acolhedor , comida regional manauara com toque de chef .","comida, ambiente"
"Nos finais de semana há música ambiente, quase sempre uma MPB suave que não atrapalha a conversa e o couvert artístico é em torno...Mais","ambiente, música, serviço"
Ambiente maravilhoso!!!!,ambiente
Ambiente agradavel e a localização e boa.,"ambiente, localização"
"A excelente estrutura do local, com um ambiente moderno e de bom gosto, além de facilidades como estacionamento gratuito com manobrista, não fazem com que esta casa perca o foco no principal, que é a qualidade da comida.","ambiente, localização, comida"
"Preço justo, espaço muito agradável, estacionando amplo, além de contar com espaço kids (maior diferencial deste restaurante em relação aos demais da cidade).","localização, ambiente, geral"
"Ambiente amplo e confortavel, indico a do Amazonas shopping  e a do mileniun shopping que ja é  um local mais tranquilo para  tanto no almoço quanto no jantar.","ambiente, geral"
Ambiente muito bonito e a comida é excelente.,"comida, ambiente"
Música de qualidade=pop rock.,música
Atendimento excelente e espaço muito tranquilo,"serviço, ambiente"
"Muito bom, ambiente familiar.",ambiente
"Sabor, ambiente familiar....frequentadora a muitos anos","ambiente, comida"
"Frequento o rodízio de massas ao menos um domingo por mês....os molhos são uma delícia...ambiente refrigerado, sempre arrumado e limpo.Ambiente familiar, estacionamento fácil, e o preço é acessível.","comida, ambiente, localização, preço, geral"
"O ambiente é um detalhe a parte, conta com boa decoração com enfase nos materiais da região.",ambiente
"Muito interessante a decoração temática, fora o sabor que é surpreendente.","ambiente, comida"
Ambiente bom e agradável.,ambiente
"Adoramos o café, ambiente muito agradável e aconchegante.",ambiente
"O Choupana é um dos melhores restaurantes em Manaus, com ambiente, atendimento e música excelente.","serviço, ambiente, música"
"Ambiente bom e tranquilo,  bem pequeno .",ambiente
"Lugar agravel e Familiar, muito bom mesmo","geral, ambiente"
Ambiente bem decorado e bom atendimento.,"ambiente, serviço"
"Comida boa, ambiente agradável, garçons solícitos.","comida, ambiente, serviço"
Flutuante com uma vista incrível para o pôr do sol ...sempre quando posso estou  no abaré recarregando as minhas energias !!!,"ambiente, geral"
Ambiente excelente.,ambiente
Ambiente agradável com opção de atendimento interno e externo.,"ambiente, serviço"
"Muito bom, ambiente família.",ambiente
Ótimo ambiente.,ambiente
"Pé direito bem alto, que mantém a refrescância, apesar de ter também ar condicionado.",ambiente
"A picanha mania proporciona a melhor comida de manaus, alem de um ambiente super confortavel e aconchegante.","comida, ambiente"
"Excelente comida, amei , fomos muito bem atendidos pelo garçom Izequiel rapaz muito atencioso e com ótimo bom humor, ambiente agradável, comida bem servida e rápida. ?","comida, serviço, ambiente"
"Comida deliciosa, ambiente agradável e funcionários atenciosos","<frase>comida, ambiente, serviço"
"Ambiente agradável ,comida  muito boa, e atendimento ok. Pedi pra levar o q sobrou da minha pizza e tive q pagar a embalagem, mas ok.","comida, ambiente, serviço, preço"
Ótimo ambiente e grande variedade de opções de pratos.,"ambiente, comida"
"Na filial que fui, perto do estádio, há uma ala com ar condicionado e uma refrigerada somente por ventiladores.",ambiente
"Tradição em um só lugar, música boa.","ambiente, outros"
"Lugar incrível, dono super receptivo, sempre perguntando se estamos confortável.","geral, serviço"
"Excelente comida, bom atendimento.Pratos típicos, ambiente agradável, sobremesa deliciosas.","comida, serviço, ambiente"
"Há um espaço kids com monitor, o que é ótimo para os pais (só precisava ser um pouco...Mais","ambiente, serviço"
"Atendimento excelente com qualidade do Rodrigo Uchôa, ambiente agradável com música ao vivo, recomendo a todos","ambiente, serviço"
Local acochegante e com um ambiente bem agradável....,ambiente
"O restaurante tem um espaço agradável, uma vista muito bonita para o Teatro Amazonas e um cardápio variado que procura modernizar alguns pratos...Mais","ambiente, comida, serviço"
Top maravilhoso,"a frase ""top maravilhoso"" não contém informações suficientes para identificar os temas mencionados por favor, forneça uma frase ou comentário mais detalhado para que eu possa analisar e identificar os temas corretamente"
"ótima comida, ambiente agradavel","comida, ambiente"
Ambiente agradável e som maravilhoso,ambiente
"O rodízio deixou a desejar, as massas estavam sem sal, as pizzas com dificuldade para o corte na parte da massa também sendo um pouco duras e de difícil acesso para o corte.","comida, serviço"
Ótima comida regional,comida
Restaurante bem localizado de fácil acesso com estacionamento para clientes e se você estiver hospedado em hotel a vam vai buscar e deixar você no hotel.,"localização, outros"
Ambiente agradável.,ambiente
Ambiente  muito aconchegante com ótima seleção musical.,"ambiente, música"
"Bebida ok, climatização ruim pois estava muito quente, cantora ai vivo fraca e com músicas fracas, atendimento excelente, comida regular.","ambiente, bebida, serviço, comida"
"Outro ingrediente obrigatório na mesa dos amazonenses - e de grande parte dos moradores do Norte - é a banana pacovã, uma ‘irmã’ da nossa banana-da-terra.",comida
Ambiente familiar muito bom para passeio e lanche com a família e amigos.,ambiente
Comida excelente e ambiente agradável.,"comida, ambiente"
"Excelente, muito bom  Super educado e prestativo o sr. Vinicius  Sobre a Música ambiente gostei da playlist  Parabéns!!","serviço, ambiente, geral"
"Ambiente agradável, bom para conversar com amigos",ambiente
"Ambiente super agradável, música excelente.","ambiente, música"
"Excelente cafeteria, ambiente confortável, limpo e com uma culinária excelente.","ambiente, comida"
Ambiente fantástico e familiar... super recomendo,"ambiente, geral"
"É conectado à uma hamburgueria artesanal, o que permite que você peça seu sanduíche a partir do bar.","comida, bebida, serviço"
Familiar ambiente,ambiente
"Ótimo local, ambiente familiar.",ambiente
"Bem localizado, ambiente agradável e cardápio com opções variadas","localização, ambiente, comida"
"Ambiente agradável, simples, mas OK. O serviço é muito bom e rápido.","ambiente, serviço"
Ambiente agradável e excelente atendimento!,"ambiente, serviço"
"Ambiente agradável para almoços e comemorações, comida saborosa e atendimento excelente pelo garçom Izaquiel.","ambiente, comida, serviço"
"Ambiente muito bom, atendimento rápido e eficiente pelo garçom Franklin e comida excelente.","<frase>ambiente, serviço, comida"
"Ótimo ambiente, comida bem saborosa, porém há pontos a serem melhorados, como por exemplo: o pedido de outras mesas foram servidos mais rápido que a nossa e ao final, a nossa embalagem para viagens foi trocada e só percebemos quando chegamos em casa!","ambiente, comida, serviço, outros"
"Fora que os artistas fazem um pequeno show maravilhoso, entretendo toda a família.","ambiente, outros"
Ambiente  agradabilíssimo e com música ao vivo final de semana.,"ambiente, outros"
Ambiente e comida top,"como especialista em restaurantes, eu identifico os seguintes temas na sua frase:- ambiente- comida"
"É também um ambiente acolhedor, com excelente atenção à mesa.","ambiente, serviço"
"Ótimo lugar, ambiente aconchegante, com funcionários atenciosos, tempestividade dos pedidos,  e preços justos,","ambiente, serviço, preço, geral"
Churras de qualidade e bebidas geladinhas ótimo ambiente família,"ambiente, comida, bebida"
Ambiente familiar e comida saborosa,"<saída>ambiente, comida"
"Gostei muito, ambiente super ventilado, comidas deliciosas, boa música, atendentes super educados","ambiente, comida, bebida, serviço"
"Ambiente maravilhoso e atendimento nota 10 pelo garçom Izaquiel, muito atencioso e solicito.","serviço, ambiente"
Ambiente família e bem climatizado.,ambiente
Ambiente agradável,ambiente
Ótimo local,"localização, geral"
"Tradicional, ambiente agradável, e ÚNICO a VENDER um FILÉ ALTO.","<frase>ambiente, geral"
"Ambiente aconchegante, ótimo atendimento, cardápio variado e excelente qualidade.","comida, bebida, serviço, ambiente"
"Se deseja conhecer um ótimo ambiente para saborear ótimos pratos, o Banzeiro deve fazer parte do seu roteiro.","<frase>ambiente, comida"
Excelente local!,localização
Excelente música!,ambiente
O local oferece um ambiente agradável para reunir família e amigos....?,"ambiente, geral"
"Bom local para café da tarde e lanches, boa localização, tem estacionamento, bom atendimento, tem ambiente térreo e mezanino, preços ok,","localização, ambiente, serviço, preço, geral"
Ótimo ambiente e comida,"comida, ambiente"
Sempre com música boa.,ambiente
Ótimo tudo muito  gostoso,"comida, bebida, serviço"
Atendimento ótimo / brinquedos internos e externos /cardápio pra almoço e jantar á qualquer dia e hora / rodízio de pizza ótimo .,"serviço, ambiente, comida"
"Boa comida, bom ambiente, excelente atendimento.","comida, ambiente, serviço"
O atendimento é excelente e o ambiente animadíssimo!!!,"serviço, ambiente"
"Muito bom ,o dono muito prestativo sempre com seus clientes.",<frase>serviço
"Ambiente super agradável, atendimento de primeira, comida deliciosa e preço muito justo!","<frase>ambiente, serviço, comida, preço"
"Ótimo atendimento desde a entrada, do garçon Erick ... Mamma mia casa de rodízios está de parabéns, ambiente muito agradável ?","serviço, comida, ambiente"
"Ambiente tranquilo, música boa e um ótimo atendimento.","ambiente, música, serviço"
"Variedades de pratos e sobremesas, espaço aconchegante e confortável e preços moderados.","comida, ambiente, preço"
Obrigado  Excelente ambiente!,ambiente
"Ambiente bonito,boa comida,presta um bom serviço... Problema é horário... Estava lá numa quinta feira as 22:30 estavam empilhando cadeiras e desligaram o ar condicionado tipo: VAI EMBORA!!!","ambiente, comida, serviço, localização"
"Restaurante com ambiente agradável, cardápio variado para todos os gostos.","ambiente, comida"
Ambiente  familiar pizza muito gostosa atendimento de excelência  estão de parabéns,"serviço, comida, ambiente"
Pato no tucupi top...!,comida
Ambiente amplo e música muito agradável.,"ambiente, música"
"Muito bom, pratos bem executados, saborosos, atendimento muito bom, decoração agradável, um ponto de observação do meu ponto de vista, foi para a sobremesa, pedi um creme de cupuaçu, tá veio o creme propriamente dito, mas sem nenhuma decoração, uma taça com o creme, só....Mais","comida, bebida, serviço, ambiente, geral"
Ambiente agradável com a melhor carne de sol de Manaus.,"ambiente, comida"
"Ambiente agradável,pratos deliciosos.","comida, ambiente"
"Pizza boa ambiente climatizado, preço razoável porém, um local bastava barulhento as vez é impossível conversar lá.","comida, ambiente, preço, geral"
comida deliciosa...ambiente agradavel e charmoso...bem localizado.,"comida, ambiente, localização"
"Ambiente agradável, comida de boa qualidade, champanhe com temperatura ideal, atendimento excelente, recomendamos para quem desejar degustar o melhor da comida regional amazonense.","ambiente, comida, bebida, serviço, geral"
"Cerveja gelada, tira-gostos muito bom, ótimo ambiente e atendimento bem realizado.","bebida, comida, ambiente, serviço"
"Um pedacinho de Minas Gerais no coração do Parque Dez, ambiente aconchegante com deliciosos e variados pratos e um atendimento de excelência.","ambiente, comida, serviço"
"Incrível, ótimo ambiente e ótima comida.","ambiente, comida"
"Ambiente agradável, opções saborosas no cardápio!","ambiente, comida"
Ambiente muito legal.,ambiente
Música boa e comida maravilhosa,"comida, ambiente"
"O ambiente é um casarão antigo do ciclo da borracha, com a vista pro poético Teatro Amazonas.",ambiente
"Ambiente bacana, atendimento bom, porém as porções sao pequenas.","<frase>ambiente, serviço, comida"
O rolinho primavera foi a melhor parte  da degustação.,comida
Boa música e localização.,"ambiente, localização"
"Carne deliciosa, ambiente muito bom, e tem um playground maravilhoso para as crianças brincarem, acho que é o melhor de Manaus para famílias",<frase>- comida- ambiente- geral
Música excelente,música
O espaço bem iluminado e com bom espaço entre as mesas permite conversar em tom normal de voz.,"ambiente, geral"
Ótimo ambiente para saborear os peixes da nossa região.,"ambiente, comida"
"Ambiente sensacional, atendimento excelente.","ambiente, serviço"
"Carnes excelentes, atendimento muito, tem espaço kids (só que fica no andar de baixo do restaurante, próximo a garagem), muito caro o valor.","comida, serviço, ambiente, localização, preço"
"Ambiente agradável e atendimento cordial, ja os preços são muito caro.","serviço, ambiente, preço"
"Muito bom, ótimo ambiente.",ambiente
"Nossa extraordinário a atendente super atenciosa ela está de parabéns, não faz distinção de cor ou vestimenta ?????????",serviço
"Comida: pirarucu, camarão boa viagem, saborosos, sobremesa maravilhosa.","<frase>comida: pirarucu, camarão boa viagem, saborosos, sobremesa maravilhosa"
"Lugar tranquilo sem muita poluição sonora ótima comida e bem divido, tem até um lugar pra crianças pequenas.","ambiente, comida, outros"
"O ambiente ornamentado de peças interessantes, uma canoa na parede.",ambiente
"EXCELENTE ambiente,  serviço de salão ótimo, porém acredito que por motivo da quantidade de pessoas a serem servidas ao mesmo tempo, salão lotado, com o isso palato não  difunde de alguns restaurantes comuns.","ambiente, serviço, outros"
A Hamburguela foi uma das experiências mais fantásticas em relação tanto ao atendimento quanto a comida.,"comida, serviço"
Excelente atendimento!,serviço
"A primeira vez de muitas que virão,virei fã.",geral
"Lugar agradável, ótimo atendimento, cardápios deliciosos.","comida, serviço"
Atendimento muito bom.,serviço
"Gostamos muito, comida muito saborosa, ambiente ótimo para almoçar com os colegas de trabalho, excelente atendimento do Phelipe, muito educado e atencioso.","serviço, ambiente, comida"
Atendimento maravilhoso pelo Ricardo José.,serviço
Atendimento otimo comida  da melhor qualidade,"serviço, comida"
Atendimento excelente do Rodrigo Uchoa e comida como sempre deliciosa.,"serviço, comida"
Atendimento incrível e comida extremamente saborosa.,"serviço, comida"
Super maravilhoso,<frase>geral
"Excelentes comidas, e bom atendimento.","comida, serviço"
"Excelente atendimento, boa carta de vinhos, pratos preparados sob a batuta do chef Felipe.","serviço, bebida, comida"
"Minha noiva e eu somos clientes fiéis, mas antes de falar o que é bom, ressalto o único defeito da casa: a demora na entrega da conta que já demorou 15 minutos (uma única vez dentre várias).",serviço
Comida boa e bom atendimento,"comida, serviço"
"Ótimo ambiente, com lugar para deixar as crianças que se divertiram bastante, atendimento excelente garçom Cícero, comidas deliciosas... Experiência ótima","comida, bebida, serviço, ambiente"
Comida boa e funcionários muito educados,"comida, serviço"
"Cortes maravilhosos, atendimento top!!",serviço
"Atendimento muito simpático das meninas, ótima localização, limpinho ,  bonito e preço bem honesto.. E mais :  caipirinha de cachaça de jambu, melaço de cana de açucar e algum outro ingrediente local (não lembro o nome... a memoria se apagou de tão forte que era...Mais","<frase>serviço, localização, ambiente, preço, geral"
Um lugar para apreciar um delicioso sanduíche amazônico...,"comida, ambiente"
Muito boa a comida e atendimento excelente do Braian ?,"comida, serviço"
"Atendimento perfeito, suco muito bom, filé estupendo.","serviço, bebida, comida"
"Phelipe , atendimento show de bola , maravilhoso",serviço
"Comida boa prato feito acessível, a última vez que fui no local achei a farofa carregada no sal acredita que foi apenas um erro mas é bom informar pois isso deve ser endentificado antes de servir ao cliente unidade do shopping Manauara.","comida, bebida, ambiente, serviço, localização, geral"
Atendimento ótimo e comida boa tb.,"serviço, comida"
Preços acessíveis.,preço
Porém com preços altos.,preço
funcionários bem atenciosos.,serviço
"Maravilhoso atendimento , garçom Vinicius, muito gentil, super atencioso e prestativo.",serviço
"Um ótimo local, as comidas veem quentinhas, muito saborosas... atendimento maravilhoso","comida, serviço"
"Foi ótimo, atendimento maravilhoso",serviço
"a mais famosa picanha no bafo de manaus, com otimo ambiente, otimo atendimento e claro, picanha gostosa e suculenta","<frase>ambiente, serviço, comida"
Lugar agradável e excelente atendimento.,"<frase>ambiente, serviço"
Atendimento impecável e funcionários mega atenciosos.,serviço
Uma experiência maravilhosa pra quem deseja conhecer um pouco da cozinha mexicana.,"<frase>comida, geral"
"Restaurante aconchegante e a carne em um nível inigualável, proprietários muito atenciosos e cordiais","<frase>ambiente, serviço, comida"
Atendimento impecável.,serviço
já frequento algum tempo e sempre fui bem atendido e sempre delicie as comidas que lá servem tudo da melhor qualidade,"serviço, comida, bebida"
"Tivemos no domingo em um almoço de família e como sempre a melhor carne de sol, preço em conta e o melhor atendimento do início ao fim.","serviço, comida, preço"
Ótimo atendimento excelente comidas de ótima qualidade.,"comida, serviço"
Garçons incríveis.,serviço
Tudo uma delícia...ótimo atendimento,"serviço, comida"
"O restaurante conta com comidas típicas da cidade, é um local confortável de se estar, a comida é excelente, atendimento maravilhoso e preços acessíveis.","comida, ambiente, serviço, preço"
"Espaço legal, atendimento bom.","ambiente, serviço"
"O ambiente de fino e bom gosto com atendimento digno de um restaurante 5 ( cinco) estrelas, nao poderia deixa de agradecer...Mais","ambiente, serviço"
"Restaurante típico da cozinha amazonense, adoramos o peixe com arroz de tucumã e pure de macaxeira.",comida
Ótimo atendimento.,serviço
"Comida saborosa, bom atendimento e preço acessível.","comida, serviço, preço"
Bom atendimento e comida deliciosa!,"comida, serviço"
"Atendimento excelente, todos foram muito prestativos e gentis.",serviço
Super indico para pessoas que estão vindo a Manaus pela primeira vez.,"a frase fornecida não contém informações específicas sobre serviço, bebida, ambiente, comida, localização, preço ou outros aspectos de um restaurante portanto, não é possível identificar temas específicos relacionados a restaurantes a partir dessa frase"
"Excelente atendimento, local limpo, clareza e paciência para explicar o prato, preço dentro do valor de mercado.","serviço, ambiente, preço, geral"
"Ótimo atendimento, coisas deliciosas.","serviço, comida"
"Comida de boa qualidade, ótimo atendimento ambiente muito agradável!","serviço, comida, ambiente"
"Muito bem localizado, escondidinho ao lado do Teatro com uma vista muito bacana e a comida tradicional de primeira qualidade e atendimento primoroso.","localização, ambiente, comida, serviço"
"O atendimento maravilhoso pelo garçom Ricardo José ,foi uma experiência ótima pratos maravilhos ,ambiente aconchegante...","serviço, comida, ambiente"
Adalberto Blanca foi uma ótima pessoa,"como o comentário fornecido não contém uma opinião sobre um restaurante, não é possível identificar os temas relacionados a um estabelecimento desse tipo a frase ""adalberto blanca foi uma ótima pessoa"" não oferece informações específicas sobre serviço, bebida, ambiente, comida, localização, preço ou uma visão geral do restaurante, nem sobre outros aspectos que poderiam ser avaliados"
"Sair do trabalho na hora do almoço para comer neste local é impossível, atendimento está altamente perdido, não sabem quem atendem por primeiro, não há estrutura para atender o salão cheio... É impressionante como em Manaus não se consegue manter um nível mínimo de atendimento!!!","serviço, ambiente, localização"
"O clima é super agradável, recomendo tanto pra encontros em família ou a dois.","ambiente, geral"
Único problema é o barulho.,ambiente
"Ótimo ambiente, ótimo atendimento, mas quando começa a ter bastantes clientes o atendimento cai um pouco.","serviço, ambiente"
Excelente pratos e preços atrativos,"comida, preço"
"Lugar agradável, Gastronomia excelente...","comida, ambiente"
"Muito bom atendimento, garçons muitos educados gostei de verdade.",serviço
"Estão de parabéns, além de um atendimento excelente pelo garçom Filipe Farias e ambiente agradável, os pratos com camarão são mravilhosos, e recomendo pedirem a torta trufada.","serviço, ambiente, comida, outros"
"Fomos em grupo de pais, com as crianças (média de 2 anos) e sentamos nas mesas próximas ao espaço kids, super agradável e aconchegante.",ambiente
Super indico!,"<frase>serviço, geral"
"Muito bom, comida boa e ótimo atendimento","comida, serviço"
Se gosta de experimentar drinks diferentes e muito bem feitos esse é o lugar.,"bebida, serviço"
Muito bom atendimento excelente.,serviço
"Ambiente confortável, pratos saborosos mas eventualmente o preparo pode demorar em dias de grande procura.","ambiente, comida, serviço"
"Atendimento excelente, variedade de sabores, ambiente agradável ?","serviço, comida, ambiente"
"Musica boa, clinária regional maravilhosa, atendimento excelente!!!","ambiente, geral, serviço"
"Ate que o atendimento é razoavel, mas se esta a procura de coisa melhor, este nao seria o lugar  qual podes ficar por um bom tempo.","serviço, geral"
"Recomendo, muito legal, a diversão sensacional...",geral
Atendimento rápido com qualidade e muito bom os pratos oferecidos,"serviço, comida"
Bom atendimento.,serviço
Excelente atendimento.,serviço
"Açaí delicioso, atendimento muito bom!","comida, serviço"
"Ótimo atendimento, mas a qualidade da pizza no rodízio e das batatas fritas passam longe.","serviço, comida"
"Atendimento muito bom, Jardel rapaz bem simpático!",serviço
"Um lugar maravilhoso, restaurante  com ótimo atendimento  e com ótimo cardápio  e pode-se desfrutar da natureza.","comida, bebida, serviço, ambiente"
"Atendimento do Marcos e Rodrigo Uchoa ótimos, melhores garçons.",serviço
Ambiente confortável com atendimento de primeira e comida excelente.,"serviço, ambiente, comida"
"Ótimo atendimento, não parava de comer.kkkk","serviço, comida"
"Comida farta e saborosa, preços ótimos, atendimento satisfatório, ambiente familiar.","<saída>comida, bebida, serviço, ambiente"
Cardápio com preços muito honesto  Vale conferir o brigadeiro de peixe Não esquecer de curtir um SUP!!,"comida, bebida, geral"
"Fomos super bem atendidos pelo Roberto, excelente garçom, muito cuidadoso com todos.",serviço
Péssimo atendimento.,serviço
"Lugar Ideal Pra Quem Procura Um bom Atendimento, Boa Comida E Excelente Ambiente.","geral, comida, ambiente, serviço"
"super indico, crianças até 22:00 hrs, com se responsáveis ??","<frase>ambiente, preço, geral"
Garçom Senna super atencioso,serviço
"Fui atendido, sem absolutamente  nenhuma cerimônia, nenhum simples pedido de desculpa.",serviço
O menu é incrível e o atendimento perfeito.,"comida, serviço"
"Lugar charmoso e aconchegante, comida deliciosa e ótimo atendimento.","<frase>ambiente, comida, serviço"
"Atendimento excelente, música mpb ao vivo e  a refeição deliciosa","ambiente, serviço, comida"
Atendimento rápido e preço camarada,"serviço, preço"
Excelente restaurante... atendimento ótimo,serviço
"Garçom celso, parabéns pelo seu atendimento super da hora top de mas parabéns",serviço
"Custa em torno de 250,00, comem 5 ou seis adultos famintos.",preço
"Ambiente agradável, comida otima e atendimento excelente.","comida, serviço, ambiente"
Coisas muito caras.,preço
Excelente atendimento,serviço
"Atendimento muito bom, e sempre fazem promoções muito boas em termos de custo e benefício.","serviço, preço"
Qualidade e bons preços,"geral, preço"
"Dica de prato: matrinxã recheado é sensacional e de sobremesa creme de cupuaçu, que é muito bom também.","comida, bebida"
Excelente atendimento!,serviço
Excelente atendimento,serviço
O serviço é meio do tipo antigo e lento.,serviço
"Comida deliciosa, atendimento muito bom e preço razoavelmente justo.","comida, serviço, preço"
"No Banzeiro encontramos excelente gastronomia brasileira e regional, com pratos elaborados, criativos e deliciosos.",comida
Bom restaurante e ótimo atendimento do garçom Senna.,"serviço, geral"
"Um excelente atendimento, clima agradável e o ambiente bastante adorável, fomos recepcionados da melhor maneira pela atendente Marcela, sempre sorrindo, sendo gentil comigo e meus amigos,mostrando as melhores pedidas e melhores bebidas.","serviço, ambiente, geral"
"Ótimo menu, excelente atendimento, preço justo.","comida, serviço, preço"
Ótimo excelente lugar agradável Boa comida nota 10,"<frase>""ótimo excelente lugar agradável boa comida nota 10""<saída>ambiente, comida, geral"
"Gosto muito de lá, localcalmo, ambiente rústico, peixes bem preparados, um caldinho gostoso e preços módicos","localização, ambiente, comida, preço"
Atendentes simpáticas.,serviço
"Ketherin  atendimento excelente, porém fica a sugestão que os bolinhos e a macaxeiras sejam frito na hora que o cliente fazer o pedido","serviço, comida"
Ótimo atendimento e um dos melhores locais em Manaus para comer doces e salgados sem arrependimentos!,"geral, serviço, comida"
